schoolid,teacherid,collegeid,guanxi
5001,653,4004,所属
5001,654,4004,所属
5001,655,4004,所属
5001,656,4004,所属
5001,657,4004,所属
5001,658,4004,所属
5001,659,4004,所属
5001,660,4004,所属
5001,661,4006,所属
5001,662,4004,所属
5001,663,4004,所属
5001,664,4004,所属
5001,665,4004,所属
5001,666,4004,所属
5001,667,4004,所属
5001,668,4004,所属
5001,669,4004,所属
5001,670,4004,所属
5001,671,4004,所属
5001,672,4004,所属
5001,673,4004,所属
5001,674,4004,所属
5001,675,4004,所属
5001,676,4004,所属
5001,677,4004,所属
5001,678,4004,所属
5001,679,4004,所属
5001,680,4004,所属
5001,681,4004,所属
5001,682,4004,所属
5001,683,4004,所属
5001,684,4006,所属
5001,685,4010,所属
5001,686,4003,所属
5001,687,4010,所属
5001,688,4005,所属
5001,689,4001,所属
5001,690,4005,所属
5001,691,4004,所属
5001,692,4006,所属
5001,693,4010,所属
5001,694,4004,所属
5001,695,4008,所属
5001,696,4006,所属
5001,697,4006,所属
5001,698,4006,所属
5001,699,4006,所属
5001,700,4006,所属
5001,701,4001,所属
5001,702,4002,所属
5001,703,4006,所属
5001,704,4006,所属
5001,705,4006,所属
5001,706,4006,所属
5001,707,4006,所属
5001,708,4006,所属
5001,709,4006,所属
5001,710,4006,所属
5001,711,4006,所属
5001,712,4006,所属
5001,713,4010,所属
5001,714,4004,所属
5001,715,4006,所属
5001,716,4006,所属
5001,717,4006,所属
5001,718,4006,所属
5001,719,4006,所属
5001,720,4006,所属
5001,721,4006,所属
5001,722,4006,所属
5001,723,4006,所属
5001,724,4006,所属
5001,725,4006,所属
5001,726,4001,所属
5001,727,4010,所属
5001,728,4006,所属
5001,729,4006,所属
5001,730,4006,所属
5001,731,4006,所属
5001,732,4006,所属
5001,733,4006,所属
5001,734,4006,所属
5001,735,4006,所属
5001,736,4006,所属
5001,737,4006,所属
5001,738,4006,所属
5001,739,4010,所属
5001,740,4003,所属
5001,741,4006,所属
5001,742,4006,所属
5001,743,4006,所属
5001,744,4006,所属
5001,745,4006,所属
5001,746,4006,所属
5001,747,4010,所属
5001,748,4005,所属
5001,749,4003,所属
5001,750,4008,所属
5001,751,4004,所属
5001,752,4002,所属
5001,753,4006,所属
5001,754,4006,所属
5001,755,4008,所属
5001,756,4001,所属
5001,757,4006,所属
5001,758,4002,所属
5001,759,4001,所属
5001,760,4003,所属
5001,761,4006,所属
5001,762,4001,所属
5001,763,4008,所属
5001,764,4006,所属
5001,765,4004,所属
5001,766,4005,所属
5001,767,4006,所属
5001,768,4006,所属
5001,769,4006,所属
5001,770,4006,所属
5001,771,4006,所属
5001,772,4006,所属
5001,773,4006,所属
5001,774,4010,所属
5001,775,4003,所属
5001,776,4006,所属
5001,777,4006,所属
5001,778,4010,所属
5001,779,4003,所属
5001,780,4006,所属
5001,781,4006,所属
5001,782,4006,所属
5001,783,4006,所属
5001,784,4006,所属
5001,785,4006,所属
5001,786,4006,所属
5001,787,4006,所属
5001,788,4006,所属
5001,789,4005,所属
5001,790,4008,所属
5001,791,4006,所属
5001,792,4006,所属
5001,793,4006,所属
5001,794,4006,所属
5001,795,4006,所属
5001,796,4004,所属
5001,797,4007,所属
5001,798,4006,所属
5001,799,4007,所属
5001,800,4005,所属
5001,801,4006,所属
5001,802,4006,所属
5001,803,4002,所属
5001,804,4006,所属
5001,805,4006,所属
5001,806,4004,所属
5001,807,4006,所属
5001,808,4006,所属
5001,809,4006,所属
5001,810,4006,所属
5001,811,4006,所属
5001,812,4004,所属
5001,813,4001,所属
5001,814,4006,所属
5001,815,4003,所属
5001,816,4006,所属
5001,817,4006,所属
5001,818,4006,所属
5001,819,4005,所属
5001,820,4005,所属
5001,821,4005,所属
5001,822,4005,所属
5001,823,4005,所属
5001,824,4005,所属
5001,825,4005,所属
5001,826,4006,所属
5001,827,4006,所属
5001,828,4006,所属
5001,829,4006,所属
5001,830,4001,所属
5001,831,4008,所属
5001,832,4005,所属
5001,833,4005,所属
5001,834,4005,所属
5001,835,4005,所属
5001,836,4005,所属
5001,837,4005,所属
5001,838,4005,所属
5001,839,4005,所属
5001,840,4005,所属
5001,841,4005,所属
5001,842,4005,所属
5001,843,4005,所属
5001,844,4005,所属
5001,845,4005,所属
5001,846,4005,所属
5001,847,4005,所属
5001,848,4005,所属
5001,849,4005,所属
5001,850,4005,所属
5001,851,4005,所属
5001,852,4005,所属
5001,853,4005,所属
5001,854,4005,所属
5001,855,4005,所属
5001,856,4005,所属
5001,857,4005,所属
5001,858,4005,所属
5001,859,4005,所属
5001,860,4005,所属
5001,861,4005,所属
5001,862,4005,所属
5001,863,4005,所属
5001,864,4005,所属
5001,865,4005,所属
5001,866,4005,所属
5001,867,4005,所属
5001,868,4005,所属
5001,869,4005,所属
5001,870,4005,所属
5001,871,4005,所属
5001,872,4005,所属
5001,873,4005,所属
5001,874,4005,所属
5001,875,4005,所属
5001,876,4005,所属
5001,877,4005,所属
5001,878,4005,所属
5001,879,4005,所属
5001,880,4005,所属
5001,881,4005,所属
5001,882,4005,所属
5001,883,4005,所属
5001,884,4005,所属
5001,885,4005,所属
5001,886,4005,所属
5001,887,4005,所属
5001,888,4005,所属
5001,889,4005,所属
5001,890,4005,所属
5001,891,4005,所属
5001,892,4005,所属
5001,893,4005,所属
5001,894,4005,所属
5001,895,4005,所属
5001,896,4005,所属
5001,897,4005,所属
5001,898,4005,所属
5001,899,4005,所属
5001,900,4005,所属
5001,901,4005,所属
5001,902,4005,所属
5001,903,4005,所属
5001,904,4005,所属
5001,905,4005,所属
5001,906,4005,所属
5001,907,4005,所属
5001,908,4005,所属
5001,909,4005,所属
5001,910,4005,所属
5001,911,4005,所属
5001,912,4005,所属
5001,913,4005,所属
5001,914,4005,所属
5001,915,4005,所属
5001,916,4005,所属
5001,917,4005,所属
5001,918,4005,所属
5001,919,4005,所属
5001,920,4005,所属
5001,921,4005,所属
5001,922,4005,所属
5001,923,4005,所属
5001,924,4005,所属
5001,925,4005,所属
5001,926,4005,所属
5001,927,4005,所属
5001,928,4005,所属
5001,929,4005,所属
5001,930,4005,所属
5001,931,4005,所属
5001,932,4005,所属
5001,933,4005,所属
5001,934,4005,所属
5001,935,4005,所属
5001,936,4005,所属
5001,937,4005,所属
5001,938,4005,所属
5001,939,4005,所属
5001,940,4005,所属
5001,941,4005,所属
5001,942,4005,所属
5001,943,4005,所属
5001,944,4005,所属
5001,945,4005,所属
5001,946,4005,所属
5001,947,4005,所属
5001,948,4005,所属
5001,949,4005,所属
5001,950,4005,所属
5001,951,4005,所属
5001,952,4005,所属
5001,953,4005,所属
5001,954,4005,所属
5001,955,4005,所属
5001,956,4005,所属
5001,957,4005,所属
5001,958,4005,所属
5001,959,4005,所属
5001,960,4005,所属
5001,961,4003,所属
5001,962,4003,所属
5001,963,4003,所属
5001,964,4003,所属
5001,965,4003,所属
5001,966,4003,所属
5001,967,4003,所属
5001,968,4003,所属
5001,969,4003,所属
5001,970,4003,所属
5001,971,4003,所属
5001,972,4003,所属
5001,973,4003,所属
5001,974,4003,所属
5001,975,4003,所属
5001,976,4003,所属
5001,977,4003,所属
5001,978,4003,所属
5001,979,4003,所属
5001,980,4003,所属
5001,981,4003,所属
5001,982,4003,所属
5001,983,4003,所属
5001,984,4003,所属
5001,985,4003,所属
5001,986,4003,所属
5001,987,4003,所属
5001,988,4003,所属
5001,989,4003,所属
5001,990,4003,所属
5001,991,4003,所属
5001,992,4003,所属
5001,993,4003,所属
5001,994,4003,所属
5001,995,4003,所属
5001,996,4003,所属
5001,997,4003,所属
5001,998,4003,所属
5001,999,4003,所属
5001,1000,4003,所属
5001,1001,4003,所属
5001,1002,4003,所属
5001,1003,4003,所属
5001,1004,4003,所属
5001,1005,4003,所属
5001,1006,4003,所属
5001,1007,4003,所属
5001,1008,4003,所属
5001,1009,4003,所属
5001,1010,4003,所属
5001,1011,4006,所属
5001,1012,4006,所属
5001,1013,4006,所属
5001,1014,4006,所属
5001,1015,4006,所属
5001,1016,4006,所属
5001,1017,4006,所属
5001,1018,4006,所属
5001,1019,4006,所属
5001,1020,4004,所属
5001,1021,4004,所属
5001,1022,4004,所属
5001,1023,4004,所属
5001,1024,4004,所属
5001,1025,4004,所属
5001,1026,4004,所属
5001,1027,4004,所属
5001,1028,4004,所属
5001,1029,4004,所属
5001,1030,4004,所属
5001,1031,4004,所属
5001,1032,4004,所属
5001,1033,4004,所属
5001,1034,4004,所属
5001,1035,4004,所属
5001,1036,4004,所属
5001,1037,4004,所属
5001,1038,4004,所属
5001,1039,4004,所属
5001,1040,4004,所属
5001,1041,4004,所属
5001,1042,4004,所属
5001,1043,4004,所属
5001,1044,4004,所属
5001,1045,4004,所属
5001,1046,4004,所属
5001,1047,4004,所属
5001,1048,4004,所属
5001,1049,4002,所属
5001,1050,4002,所属
5001,1051,4002,所属
5001,1052,4002,所属
5001,1053,4002,所属
5001,1054,4002,所属
5001,1055,4002,所属
5001,1056,4002,所属
5001,1057,4002,所属
5001,1058,4002,所属
5001,1059,4002,所属
5001,1060,4002,所属
5001,1061,4002,所属
5001,1062,4002,所属
5001,1063,4002,所属
5001,1064,4002,所属
5001,1065,4002,所属
5001,1066,4002,所属
5001,1067,4002,所属
5001,1068,4002,所属
5001,1069,4006,所属
5001,1070,4006,所属
5001,1071,4006,所属
5001,1072,4006,所属
5001,1073,4006,所属
5001,1074,4006,所属
5001,1075,4006,所属
5001,1076,4006,所属
5001,1077,4006,所属
5001,1078,4006,所属
5001,1079,4006,所属
5001,1080,4006,所属
5001,1081,4006,所属
5001,1082,4006,所属
5001,1083,4006,所属
5001,1084,4006,所属
5001,1085,4006,所属
5001,1086,4006,所属
5001,1087,4006,所属
5001,1088,4006,所属
5001,1089,4006,所属
5001,1090,4001,所属
5001,1091,4001,所属
5001,1092,4001,所属
5001,1093,4001,所属
5001,1094,4001,所属
5001,1095,4001,所属
5001,1096,4001,所属
5001,1097,4001,所属
5001,1098,4001,所属
5001,1099,4001,所属
5001,1100,4001,所属
5001,1101,4001,所属
5001,1102,4001,所属
5001,1103,4001,所属
5001,1104,4001,所属
5001,1105,4001,所属
5001,1106,4001,所属
5001,1107,4001,所属
5001,1108,4001,所属
5001,1109,4001,所属
5001,1110,4001,所属
5001,1111,4001,所属
5001,1112,4001,所属
5001,1113,4001,所属
5001,1114,4001,所属
5001,1115,4001,所属
5001,1116,4001,所属
5001,1117,4001,所属
5001,1118,4001,所属
5001,1119,4001,所属
5001,1120,4001,所属
5001,1121,4001,所属
5001,1122,4001,所属
5001,1123,4001,所属
5001,1124,4001,所属
5001,1125,4001,所属
5001,1126,4001,所属
5001,1127,4001,所属
5001,1128,4001,所属
5001,1129,4001,所属
5001,1130,4001,所属
5001,1131,4001,所属
5001,1132,4001,所属
5001,1133,4001,所属
5001,1134,4001,所属
5001,1135,4001,所属
5001,1136,4001,所属
5001,1137,4001,所属
5001,1138,4001,所属
5001,1139,4001,所属
5001,1140,4001,所属
5001,1141,4001,所属
5001,1142,4001,所属
5001,1143,4001,所属
5001,1144,4001,所属
5001,1145,4001,所属
5001,1146,4001,所属
5001,1147,4001,所属
5001,1148,4001,所属
5001,1149,4001,所属
5001,1150,4002,所属
5001,1151,4002,所属
5001,1152,4002,所属
5001,1153,4002,所属
5001,1154,4002,所属
5001,1155,4002,所属
5001,1156,4002,所属
5001,1157,4002,所属
5001,1158,4002,所属
5001,1159,4002,所属
5001,1160,4002,所属
5001,1161,4002,所属
5001,1162,4002,所属
5001,1163,4002,所属
5001,1164,4002,所属
5001,1165,4002,所属
5001,1166,4002,所属
5001,1167,4002,所属
5001,1168,4002,所属
5001,1169,4002,所属
5001,1170,4002,所属
5001,1171,4002,所属
5001,1172,4002,所属
5001,1173,4002,所属
5001,1174,4002,所属
5001,1175,4002,所属
5001,1176,4002,所属
5001,1177,4002,所属
5001,1178,4002,所属
5001,1179,4002,所属
5001,1180,4002,所属
5001,1181,4002,所属
5001,1182,4002,所属
5001,1183,4002,所属
5001,1184,4002,所属
5001,1185,4002,所属
5001,1186,4002,所属
5001,1187,4002,所属
5001,1188,4002,所属
5001,1189,4002,所属
5001,1190,4002,所属
5001,1191,4002,所属
5001,1192,4002,所属
5001,1193,4004,所属
5001,1194,4004,所属
5001,1195,4004,所属
5001,1196,4004,所属
5001,1197,4004,所属
5001,1198,4004,所属
5001,1199,4004,所属
5001,1200,4004,所属
5001,1201,4004,所属
5001,1202,4004,所属
5001,1203,4004,所属
5001,1204,4004,所属
5001,1205,4004,所属
5001,1206,4004,所属
5001,1207,4004,所属
5001,1208,4004,所属
5001,1209,4004,所属
5001,1210,4004,所属
5001,1211,4004,所属
5001,1212,4004,所属
5001,1213,4004,所属
5001,1214,4004,所属
5001,1215,4004,所属
5001,1216,4004,所属
5001,1217,4004,所属
5001,1218,4004,所属
5001,1219,4004,所属
5001,1220,4004,所属
5001,1221,4004,所属
5001,1222,4004,所属
5001,1223,4004,所属
5001,1224,4004,所属
5001,1225,4004,所属
5001,1226,4004,所属
5001,1227,4004,所属
5001,1228,4004,所属
5001,1229,4004,所属
5001,1230,4004,所属
5001,1231,4004,所属
5001,1232,4008,所属
5001,1233,4008,所属
5001,1234,4008,所属
5001,1235,4008,所属
5001,1236,4008,所属
5001,1237,4008,所属
5001,1238,4008,所属
5001,1239,4008,所属
5001,1240,4008,所属
5001,1241,4008,所属
